arg1:String,arg2:String,confidence:String,context:String,context_rel:String,negated:String,passive:String,path:String,rel:String,sentence:String,tag:String,~from,~id,~to,~label
a gradual cell number reduction over 5 days thereafter,by a 2 to 5 fold increase in glycogen content,0.9612893209760381,"Although glycogen metabolism is known to regulate the intracellular glucose level its involvement in androgen response has not been studied.MethodsWe investigated the effects of androgen on glycogen phosphorylase (GP), glycogen synthase (GS) and on glycogen accumulation in the androgen-receptor (AR) reconstituted PC3 cell line containing either an empty vector (PC3-AR-V) or vector with HPV-E7 (PC3-AR-E7) and the LNCaP cell line.ResultsAndrogen addition in PC3 cells expressing the AR mimics androgen ablation in androgen-dependent prostate cells. Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content. 24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold.",,0.0,1.0,PMC1079895,was accompanied,"Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content.",,LIT=days,A4AQSEHZQTXVKUH1V5HP==LIT=days_TO_LIT=content,LIT=content,Scientific Literature
R1881,in a gradual cell number reduction over 5 days thereafter,0.9395490589944211,"Although glycogen metabolism is known to regulate the intracellular glucose level its involvement in androgen response has not been studied.MethodsWe investigated the effects of androgen on glycogen phosphorylase (GP), glycogen synthase (GS) and on glycogen accumulation in the androgen-receptor (AR) reconstituted PC3 cell line containing either an empty vector (PC3-AR-V) or vector with HPV-E7 (PC3-AR-E7) and the LNCaP cell line.ResultsAndrogen addition in PC3 cells expressing the AR mimics androgen ablation in androgen-dependent prostate cells. Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content. 24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold.",,0.0,1.0,PMC1079895,resulted,"Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content.",,LIT=r1881,GT0UCN1V209M6VVJZDCG==LIT=r1881_TO_LIT=days,LIT=days,Scientific Literature
R1881,G1 cell cycle arrest,0.9753210026959435,"Although glycogen metabolism is known to regulate the intracellular glucose level its involvement in androgen response has not been studied.MethodsWe investigated the effects of androgen on glycogen phosphorylase (GP), glycogen synthase (GS) and on glycogen accumulation in the androgen-receptor (AR) reconstituted PC3 cell line containing either an empty vector (PC3-AR-V) or vector with HPV-E7 (PC3-AR-E7) and the LNCaP cell line.ResultsAndrogen addition in PC3 cells expressing the AR mimics androgen ablation in androgen-dependent prostate cells. Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content. 24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold.",,0.0,0.0,PMC1079895,induced,"Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content.",,LIT=r1881,NQW55FB45PFVFZA7QJ38==LIT=r1881_TO_LIT=G1 cell cycle arrest,LIT=G1 cell cycle arrest,Scientific Literature
R1881,within 24 hours,0.9753210026959435,"Although glycogen metabolism is known to regulate the intracellular glucose level its involvement in androgen response has not been studied.MethodsWe investigated the effects of androgen on glycogen phosphorylase (GP), glycogen synthase (GS) and on glycogen accumulation in the androgen-receptor (AR) reconstituted PC3 cell line containing either an empty vector (PC3-AR-V) or vector with HPV-E7 (PC3-AR-E7) and the LNCaP cell line.ResultsAndrogen addition in PC3 cells expressing the AR mimics androgen ablation in androgen-dependent prostate cells. Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content. 24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold.",,0.0,0.0,PMC1079895,induced,"Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content.",,LIT=r1881,FKE9PM59RJC4ZCOSE0FI==LIT=r1881_TO_LIT=hours,LIT=hours,Scientific Literature
R1881,Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen,0.9753210026959435,"Although glycogen metabolism is known to regulate the intracellular glucose level its involvement in androgen response has not been studied.MethodsWe investigated the effects of androgen on glycogen phosphorylase (GP), glycogen synthase (GS) and on glycogen accumulation in the androgen-receptor (AR) reconstituted PC3 cell line containing either an empty vector (PC3-AR-V) or vector with HPV-E7 (PC3-AR-E7) and the LNCaP cell line.ResultsAndrogen addition in PC3 cells expressing the AR mimics androgen ablation in androgen-dependent prostate cells. Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content. 24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold.",,0.0,0.0,PMC1079895,induced,"Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content.",,LIT=r1881,N7LF37VVEXZDF7L3QAM1==LIT=r1881_TO_LIT=PC3-AR-E7 cells,LIT=PC3-AR-E7 cells,Scientific Literature
the GS activities,after 48 hours,0.9539354177697028,"Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content. 24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold. Under this condition inhibition of glycogenolysis with the selective GP inhibitor CP-91149 enhanced the increase in glycogen content and further reduced the cell number.",,0.0,1.0,PMC1079895,increased twofold,24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold.,,LIT=GS,AIAFBNOGWASXXDTAKWTL==LIT=GS_TO_LIT=hour,LIT=hour,Scientific Literature
the level of Glucose - 6 - P ( G - 6 - P,threefold,0.9838189324431019,"Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content. 24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold. Under this condition inhibition of glycogenolysis with the selective GP inhibitor CP-91149 enhanced the increase in glycogen content and further reduced the cell number.",,0.0,1.0,PMC1079895,had increased,24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold.,,LIT=level,BSDFH6EHISE8HA9D182E==LIT=level_TO_LIT=threefold,LIT=threefold,Scientific Literature
the level of Glucose - 6 - P ( G - 6 - P,24 hours after androgen - treatment,0.9838189324431019,"Incubation of PC3-AR-V or PC3-AR-E7 cells with the androgen R1881 induced G1 cell cycle arrest within 24 hours and resulted in a gradual cell number reduction over 5 days thereafter, which was accompanied by a 2 to 5 fold increase in glycogen content. 24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold. Under this condition inhibition of glycogenolysis with the selective GP inhibitor CP-91149 enhanced the increase in glycogen content and further reduced the cell number.",,0.0,1.0,PMC1079895,had increased,24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold.,,LIT=level,HMUONCAVP2NMLNVV8155==LIT=level_TO_LIT=hour,LIT=hour,Scientific Literature
the selective GP inhibitor,the increase,0.9585634962421642,24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold. Under this condition inhibition of glycogenolysis with the selective GP inhibitor CP-91149 enhanced the increase in glycogen content and further reduced the cell number. The androgen-dependent LNCaP cells that endogenously express AR responded to androgen withdrawal with growth arrest and increased glycogen content.,,0.0,1.0,PMC1079895,enhanced,Under this condition inhibition of glycogenolysis with the selective GP inhibitor CP-91149 enhanced the increase in glycogen content and further reduced the cell number.,,LIT=inhibitor,WCMGCOZ1LLF8MV25DB1M==LIT=inhibitor_TO_LIT=increase,LIT=increase,Scientific Literature
the selective GP inhibitor,Under this condition inhibition of glycogenolysis,0.9585634962421642,24 hours after androgen-treatment the level of Glucose-6-P (G-6-P) had increased threefold and after 48 hours the GS and GP activities increased twofold. Under this condition inhibition of glycogenolysis with the selective GP inhibitor CP-91149 enhanced the increase in glycogen content and further reduced the cell number. The androgen-dependent LNCaP cells that endogenously express AR responded to androgen withdrawal with growth arrest and increased glycogen content.,,0.0,1.0,PMC1079895,enhanced,Under this condition inhibition of glycogenolysis with the selective GP inhibitor CP-91149 enhanced the increase in glycogen content and further reduced the cell number.,,LIT=inhibitor,ZX0JZJRS3Z407DFQFH62==LIT=inhibitor_TO_LIT=glycogen,LIT=glycogen,Scientific Literature
